time	txpkts	txbytes	rxpkts	rxbytes
217	3643	2785802	4106	366359
218	3661	2879907	4027	359370
219	3599	2555005	4158	371454
220	3988	3050771	4501	401482
221	3365	2613628	3785	333876
222	3258	2563854	3644	326053
223	4129	3197582	4467	396864
224	3750	2764706	4189	370608
225	3757	2919902	4134	369575
226	4273	3236621	4614	407062
227	3818	2889112	4245	374841
228	3386	2616211	3724	331821
229	3181	2525391	3539	315842
230	3740	2958807	4187	373775
231	3288	2585700	3599	319221
232	4564	3524855	4930	442338
233	3623	2768780	3962	352101
234	4015	3049326	4292	385898
235	3588	2727388	3936	349380
236	4214	3221240	4523	401341
237	3579	2760659	3874	342717
238	3547	2712509	3863	343905
239	3978	2992456	4363	384198
240	3940	3070389	4400	390411
241	3989	3093131	4340	386030
242	3884	2987229	4287	375685
243	4155	3251327	4584	408265
244	3624	2863085	3924	349067
245	3687	2794959	4093	362278
246	3126	2401095	3540	313586
247	3868	2958772	4294	379736
248	3818	2909479	4247	373311
249	5166	3829854	5774	513536
250	3811	2894776	4338	387567
251	4022	3055601	4463	395551
252	3602	2804961	4083	361594
253	3520	2712049	3845	339169
254	3808	2935016	4204	371304
255	3875	2956127	4251	374709
256	3631	2844203	4063	360866
257	3882	2952507	4255	373472
258	3185	2476637	3539	310765
259	4903	3773982	5261	463035
260	4232	3278477	4644	409651
261	3418	2670290	3770	336411
262	4224	3238072	4614	415262
263	3200	2417367	3563	316879
264	4216	3226216	4593	410044
265	3067	2300321	3537	315655
266	3970	3052420	4434	398197
267	3551	2707994	4008	359227
268	4352	3262595	4712	419823
269	4425	3376058	4793	426315
270	3530	2701384	3850	341571
271	4238	3224838	4614	412069
272	3705	2793070	4082	361649
273	3284	2542821	3575	316990
274	3457	2602683	3781	333101
275	3938	3014396	4276	377572
276	4583	3471979	4942	440207
277	4706	3564419	5100	453552
278	3927	2956909	4359	386097
279	4035	2965786	4552	406861
280	3331	2527573	3752	331971
281	3777	2861694	4101	364722
282	3325	2512836	3730	331808
283	3961	3086148	4268	379949
284	4388	3341818	4796	421099
285	3890	2987571	4293	380095
286	3865	2899316	4203	370776
287	3823	2891225	4132	365407
288	3551	2715027	3873	340795
289	3328	2476440	3759	334350
290	3562	2677303	3930	345697
291	3881	2986023	4313	384440
292	3792	2806831	4281	381664
293	3798	2871269	4134	366300
294	3710	2822163	4063	360957
295	3232	2485540	3562	318530
296	3562	2750659	3809	337356
297	3658	2730703	3974	353164
298	3741	2762364	4043	357078
299	3537	2712944	3825	338298
300	3560	2671000	3928	349636
301	3520	2710711	3851	337978
302	4102	3110528	4460	398905
303	4039	2986633	4356	385793
304	3612	2730200	3965	351843
305	3586	2686662	3921	348134
306	4333	3286903	4713	416620
307	3635	2754037	3936	349149
308	3877	2955215	4171	370649
309	3634	3607635	4152	362407
310	3314	2909422	3734	328695
311	3550	2599477	3864	342225
312	3773	2842197	4115	366358
313	3611	2771440	3910	347303
314	3680	2773326	4011	353681
315	3524	2701721	3885	344516
316	3732	2941010	4027	355779
317	3867	3010716	4170	368523
318	4211	3317388	4530	400970
319	3989	3048389	4306	383928
320	3438	2657809	3762	332981
321	3528	2693691	3840	338472
322	4223	3197345	4709	420577
323	3853	2923031	4212	376165
324	3184	2514398	3500	313336
325	3334	2669029	3672	326084
326	3424	2736164	3725	331917
327	3590	2772721	3901	345901
328	3744	2875234	4084	363411
329	3604	2830660	3964	352549
330	4267	3271116	4535	403769
331	3770	2940476	4138	366196
332	4214	3295933	4534	405938
333	3571	2769865	3884	343840
334	4015	3076716	4327	383184
335	4437	3390397	4833	428687
336	4029	3089377	4358	387010
337	3901	3019527	4276	380695
338	4299	3335786	4651	412976
339	3906	2903219	4246	378613
340	3903	2966293	4197	371570
341	3502	2681663	3836	337423
342	4077	3179782	4430	395459
343	4150	3131053	4502	397820
344	3647	2750824	3966	352121
345	3218	2466200	3550	314897
346	3388	2658599	3725	329441
347	3771	2980302	4099	361217
348	3712	2918614	4041	357062
349	3731	2879568	4057	359589
350	3630	2809704	4013	355365
351	3133	2458180	3429	306280
352	3330	2623141	3649	326954
353	3783	3031807	4120	369075
354	4588	3546220	4909	439801
355	4070	3155277	4417	393995
356	3792	2973626	4114	367811
357	4431	3426309	4752	426107
358	4994	3850335	5380	481040
359	4392	3403029	4786	430644
360	3373	2621738	3727	332882
361	3667	2787422	4004	358093
362	3726	2922769	4311	389836
363	3391	2695549	3792	342157
364	3468	2752293	3801	340383
365	3516	2708151	4007	359485
366	3707	2909133	4067	363510
367	3857	3017064	4176	376636
368	3596	2832796	3945	355135
369	3503	2653155	3896	347447
370	3603	2760178	3928	352791
371	3496	2710558	3808	341183
372	3733	2877296	4125	376154
373	3627	2858788	4004	359530
374	3941	3010302	4339	387223
375	3452	2705484	3902	353404
376	3470	2674814	3771	337996
377	4028	3210559	4452	396533
378	3458	2746651	3777	338144
379	4176	3202248	4461	399730
380	3432	2687138	3787	337781
381	3825	2974983	4207	378528
382	4114	3145042	4516	407020
383	4081	3237517	4404	394677
384	3591	2810492	3935	352802
385	3625	2794725	3973	355516
386	3894	2967105	4242	380230
387	3963	3060381	4308	385167
388	4662	3656830	5011	452299
389	4727	3646984	5214	470451
390	4486	3508272	4780	430473
391	3940	3082900	4277	382878
392	3369	2581340	3673	330279
393	4252	3344736	4567	411034
394	3493	2723151	3814	340860
395	4151	3212677	4490	402326
396	3856	2997042	4210	376852
397	4204	3204975	4493	402824
398	4054	3181774	4399	395372
399	3899	2959037	4224	381496
400	3501	2691980	3835	344908
401	4017	3136200	4374	393610
402	4534	3549425	4927	447282
403	4081	3191283	4416	397652
404	4590	3509635	4891	440889
405	3763	2957707	4211	380179
406	3501	2775872	3822	344163
407	4411	3487981	4689	421744
408	4670	3690377	5033	452325
409	3984	3117079	4286	383893
410	3749	2866801	4082	366514
411	4093	3266614	4435	398237
412	3383	2583704	3696	331086
413	3699	2981624	3980	357210
414	3810	2975131	4089	366438
415	3386	2659805	3650	329944
416	4076	3176489	4437	399693
417	3573	2829794	3915	349958
418	4235	3316228	4555	410299
419	3553	2854281	3867	347453
420	3549	2783222	3862	347941
421	4488	3497001	4831	435494
422	4171	3266535	4565	410282
423	5049	4014753	5409	488338
424	4435	3451581	4750	427695
425	3375	2674614	3729	333128
426	3655	2768484	3926	353110
427	3718	2988468	4051	362907
428	3210	2503370	3530	314569
429	3929	3052816	4248	380454
430	4046	3126146	4401	391529
431	3378	2687801	3712	334238
432	3483	2721919	3829	346293
433	3880	3059699	4225	377865
434	4047	3096336	4426	396747
435	3896	3023880	4250	383981
436	4072	3070482	4381	395888
437	3495	2749626	3926	352338
438	3448	2725280	3839	342409
439	3652	2735144	3976	357024
440	4169	3187317	4524	407804
441	4256	3299033	4791	434831
442	4065	3040012	4438	400258
443	3089	2368115	3466	313881
444	3467	2683906	3823	344158
445	3270	2561850	3664	328109
446	3419	2585101	3684	330470
447	3759	2903053	4017	361930
448	4067	3147276	4445	403248
449	3545	2719048	3890	351009
450	3836	2983016	4165	375265
451	3519	2785606	3834	343555
452	3478	2710180	3842	349136
453	3371	2657068	3668	329350
454	4073	3141378	4440	399580
455	3813	2951508	4160	373897
456	4040	3062932	4343	390145
457	3277	2517631	3635	324488
458	3315	2589575	3570	320441
459	3488	2647421	3807	341005
460	3305	2598595	3581	321215
461	4165	3201312	4480	399807
462	4395	3382993	4709	423141
463	3582	2744423	3915	349371
464	3768	2884635	4046	357749
465	4099	3159817	4413	395064
466	4427	3349826	4734	423574
467	3495	2664308	3819	341728
468	3495	2614856	3765	333457
469	3252	2463330	3597	320378
470	3325	2553678	3601	319955
471	4433	3418322	4740	424911
472	3926	3087935	4216	377568
473	3654	2757251	4003	354648
474	3662	2796808	3970	354081
475	4425	3433095	4712	417732
476	3407	2644596	3797	339536
477	3662	2808761	4031	356774
478	3404	2649371	3727	332808
479	4283	3268830	4596	408205
480	4253	3224419	4587	408045
481	3975	3094194	4288	382405
482	3793	2884894	4141	367940
483	4023	3147335	4379	390177
484	3864	3010840	4130	371268
485	4058	3128907	4376	389152
486	3532	2762633	3897	346134
487	3295	2573932	3609	320426
488	3796	2986024	4082	365961
489	3546	2736944	3894	346915
490	3593	2802228	3853	344338
491	4099	3103195	4483	398969
492	4274	3280376	4636	415266
493	3475	2673355	3832	342158
494	3600	2822238	3971	352643
495	3241	2546545	3628	323019
496	4006	3137433	4290	380323
497	3593	2767442	3968	350820
498	4032	3154484	4359	387707
499	3421	2644533	3745	332822
500	3339	2588722	3626	321568
501	4052	3120621	4473	398234
502	3696	2867752	4167	373041
503	3684	2892421	4107	369099
504	4166	3173790	4516	402426
505	3570	2778287	3942	351942
506	4233	3285286	4560	406389
507	3828	2961123	4134	368347
508	3893	3010579	4312	383777
509	3999	3139429	4332	385602
510	4240	3344485	4567	406462
511	3359	2543143	3657	327348
512	3681	2878343	4008	354425
513	3930	3072062	4257	377989
514	3806	2934340	4223	374894
515	3703	2866846	4025	357548
516	3296	2510154	3642	320679
517	3812	2931370	4182	370050
518	3518	2706281	3834	340815
519	5067	3841122	5523	490632
520	4165	3238072	4606	410540
521	3512	2623947	3920	348568
522	3669	2809214	4240	387628
523	3722	2863828	4065	362540
524	3912	3027458	4250	376553
525	3373	2533107	3770	336950
526	3535	2695124	3845	341349
527	4118	3160032	4457	396794
528	4310	3333245	4707	422551
529	3868	2891427	4422	397327
530	3778	2885009	4158	372205
531	3689	2837871	4033	358483
532	3530	2728457	3914	350530
533	3734	2851271	4070	360864
534	3910	3033547	4257	380211
535	3291	2568408	3747	334139
536	3650	2773420	3935	350498
537	3570	2706954	3854	343926
538	4256	3267130	4550	402954
539	4496	3405163	4844	429838
540	4077	3130337	4385	388300
541	3618	2785572	3967	351163
542	3463	2650946	3849	341475
543	3791	2859653	4069	358765
544	3894	2940404	4217	375020
545	3219	2486595	3514	311756
546	3510	2712430	3836	341183
547	3871	2944275	4216	376752
548	3959	3045854	4277	380614
549	4058	3067858	4411	393015
550	3944	3042928	4312	385375
551	3346	2549312	3624	324521
552	4106	3142614	4429	397338
553	3763	2964575	4128	364383
554	3547	2698710	3829	341957
555	3590	2808261	3924	350513
556	3494	2652552	3854	343177
557	3622	2811699	3916	346096
558	3518	2711448	3783	336265
559	4054	3091890	4405	390970
560	3589	2788895	3889	344764
561	3897	2943899	4231	374267
562	3994	2975339	4383	387481
563	4416	3384150	4751	424577
564	4074	3120001	4358	386891
565	3622	2758241	3934	348912
566	3251	2453000	3665	326780
567	4158	3149628	4538	404224
568	4176	3234474	4500	399938
569	3524	2714850	3877	342944
570	3475	2681702	3783	335911
571	3648	2752839	3984	355277
572	3770	2840680	4172	374238
573	3966	3031570	4321	387654
574	3707	2808914	4052	362242
575	3676	2804705	4002	358259
576	3629	2815773	3985	354690
577	3712	2822925	4015	357992
578	3705	2744016	4117	364235
579	3869	2939441	4260	380899
580	3510	2617906	3832	340422
581	3380	2554810	3728	330397
582	4331	3252352	4626	411323
583	3452	2633001	3784	333971
584	3879	2958197	4215	373955
585	3693	2848152	4019	358436
586	3602	2795013	3882	342642
587	3576	2783817	3856	338965
588	4182	3152200	4495	394652
589	4437	3365858	4789	425625
590	3467	2622553	3771	333705
591	4563	3467717	4866	433355
592	3219	2460838	3591	317809
593	4113	3197515	4434	392637
594	4076	3145344	4373	386476
595	3551	2725440	3911	345787
596	3742	2872096	4045	359187
597	4003	3027647	4316	380142
598	3354	2569123	3694	326435
599	3940	2988438	4236	373292
600	3777	2881114	4093	360535
601	4276	3255817	4570	403838
602	4106	3143748	4453	391443
603	3320	2504461	3645	320065
604	4297	3313976	4647	411343
605	3518	2729633	3879	342226
606	3717	2911912	4147	370786
607	3225	2491830	3513	312853
608	3695	2770933	3996	353029
609	3366	2533547	3769	334157
610	3758	2880762	4130	364546
611	3059	2392601	3393	298911
612	4182	3190227	4513	402624
613	3532	2786245	3891	343515
614	3809	2926313	4044	360474
615	3665	2804071	3960	351834
616	3992	3076249	4312	381325
617	4248	3248528	4640	410399
618	4798	3747733	5130	455330
619	4856	3701710	5380	484056
620	4891	3845861	5405	480908
621	4284	3285462	4732	417371
622	1689	1347589	2094	184168
623	7	4005	313	25478
624	16	2824	329	24406
625	6	955	280	23250
626	1902	1526226	2153	193135
627	191	157538	396	33538
628	2	1303	123	9217
629	1388	1110366	1563	137844
630	28	11952	111	8210
631	1273	1010800	1399	123926
632	2841	2209197	3094	278030
633	2787	2191342	3048	269995
634	7	1599	166	12565
635	11	1764	183	14349
636	5	270	196	14856
637	29	4167	115	10748
638	44	7920	130	13134
639	81	15088	236	22987
640	53	6437	323	34819
641	18	5056	110	13053
642	14	2123	42	3985
643	31	3714	89	9709
644	25	6912	62	5947
645	24	7244	63	6511
646	13	3366	59	7122
647	19	2328	72	7040
648	35	5710	116	10599
649	28	6636	56	5902
650	25	5219	29	2690
651	37	8558	51	5142
652	32	6858	30	2293
653	9	2155	58	7334
654	12	4227	14	1294
655	4	1429	5	465
656	15	5425	11	714
657	2	1076	2	206
658	8	1102	7	630
659	10	3481	8	528
660	18	5399	13	822
661	27	6237	22	1638
662	56	6364	51	3524
663	21	1254	16	1056
664	2	132	1	66
665	7	2012	8	609
667	6	1340	4	338
668	10	660	5	330
669	18	1188	9	594
670	6	396	3	198
671	6	396	3	198
672	6	1340	4	338
673	6	396	3	198
674	4	264	2	132
675	10	660	5	330
676	6	396	3	198
677	4	1208	3	272
678	8	1472	5	404
679	10	660	6	576
680	10	660	5	330
681	12	792	6	396
682	10	660	5	330
683	6	1340	4	338
684	4	264	2	132
685	2	132	1	66
686	8	528	6	366
688	4	1208	3	272
689	4	264	2	132
690	4	264	2	132
691	8	528	4	264
692	4	264	2	132
693	2	1076	2	206
698	2	1076	2	206
700	2	1076	2	206
705	2	1076	2	206
709	0	0	1	246
710	2	1076	2	206
715	2	1076	4	308
720	2	1076	2	206
724	2	1076	2	206
729	2	1076	2	206
734	2	1076	4	308
739	2	1076	3	452
744	2	1076	2	206
769	0	0	1	246
