time	txpkts	txbytes	rxpkts	rxbytes
215	3805	2867379	4137	368057
216	3980	2996277	4465	411955
217	4172	3180228	4664	417425
218	3709	2846763	4226	376637
219	4136	3234350	4704	428177
220	4354	3355834	4737	423758
221	4066	3036963	4468	393571
222	4666	3647783	5142	463095
223	3477	2575460	3749	326942
224	3473	2651812	3831	336914
225	3990	3087885	4360	390023
226	4153	3380135	4437	397752
227	3799	2962450	4159	365092
228	4178	3222151	4516	408270
229	3971	3106322	4395	394245
230	3536	2636030	3840	341870
231	4265	3265817	4701	420000
232	3268	2441697	3638	325951
233	4231	3230782	4542	400209
234	4052	3138222	4420	394182
235	3181	2414241	3615	320243
236	4316	3324538	4620	405660
237	4485	3487116	4901	438181
238	3705	2847244	4108	362235
239	3540	2786254	3911	345348
240	3207	2504617	3588	315695
241	4408	3390942	4791	426482
242	3097	2402761	3526	312112
243	3604	2754460	4021	354143
244	3159	2416520	3566	313020
245	4481	3281960	4942	440777
246	4953	3836319	5459	484514
247	4130	3111396	4473	394644
248	3594	2800858	4131	366092
249	4134	3194792	4488	395265
250	4520	3464210	4986	441323
251	3795	2886617	4331	387060
252	4502	3512592	4963	438899
253	3408	2525924	3920	346937
254	3594	2809003	4125	369610
255	3636	2798944	4041	359092
256	3604	2788376	3957	345655
257	4256	3344933	4841	438030
258	5261	4048445	5507	492273
259	5333	4093984	5689	507276
260	4541	3449794	4970	441903
261	4856	3731125	5260	467694
262	3403	2588595	3745	333943
263	3621	2686067	4008	356005
264	3477	2645902	3816	336829
265	3927	2986520	4287	384161
266	4519	3400441	4977	440828
267	4422	3385884	4807	427116
268	4158	3210445	4552	404298
269	3692	2787966	4046	355937
270	3744	2865272	4014	354836
271	3118	2374610	3414	300413
272	3909	2944578	4311	392203
273	3944	2965260	4284	370062
274	4407	3311804	4830	428277
275	4314	3249872	4654	409611
276	4259	3225839	4676	414594
277	4537	3475989	4880	433437
278	3788	2964642	4230	374807
279	3510	2660971	3808	334974
280	4526	3369169	4856	431571
281	3537	2715628	3919	343754
282	3837	2902347	4201	370766
283	3633	2746746	4061	362958
284	3697	2750227	4103	366213
285	3763	2865557	4166	369344
286	4145	3188269	4466	398297
287	4032	3064944	4513	400917
288	3625	2705605	3942	347969
289	3388	2563920	3781	337409
